removed_feature,remaining_features,baseline_r2,ablation_r2,r2_drop,baseline_mae,ablation_mae,mae_increase,baseline_r2_mean,baseline_r2_std,baseline_r2_ci_low,baseline_r2_ci_high,n_folds,cv_scheme,r2_mean,r2_std,r2_ci_low,r2_ci_high,drop_mean,drop_std,drop_ci_low,drop_ci_high,drop_ci_spans_zero,importance_rank
job_gpu,11,0.836840033531189,0.6356111764907837,0.20122885704040527,4.693508148193359,6.431675910949707,1.7381677627563477,0.7934857755899429,0.055583655361896564,0.7674718241190955,0.8194997270607903,20,leave-one-run_id-out,0.588347750902176,0.1190653675524742,0.5326234435819351,0.6440720582224168,0.20513802468776704,0.10400847027489202,0.1564605622094196,0.25381548716611446,False,1
queue_length,11,0.836840033531189,0.8159467577934265,0.02089327573776245,4.693508148193359,4.848296642303467,0.15478849411010742,0.7934857755899429,0.055583655361896564,0.7674718241190955,0.8194997270607903,20,leave-one-run_id-out,0.7717994719743728,0.06986608833978261,0.7391011361111478,0.8044978078375978,0.021686303615570068,0.02903278784147088,0.008098540647228614,0.03527406658391152,False,2
queue_pressure,11,0.836840033531189,0.8101390600204468,0.026700973510742188,4.693508148193359,5.067572593688965,0.37406444549560547,0.7934857755899429,0.055583655361896564,0.7674718241190955,0.8194997270607903,20,leave-one-run_id-out,0.7777225852012635,0.0701965288089055,0.7448695984380248,0.8105755719645021,0.015763190388679505,0.02269999593276235,0.005139265266473144,0.026387115510885864,False,3
running_jobs,11,0.836840033531189,0.8367746472358704,6.538629531860352e-05,4.693508148193359,4.630443572998047,-0.0630645751953125,0.7934857755899429,0.055583655361896564,0.7674718241190955,0.8194997270607903,20,leave-one-run_id-out,0.7887502700090409,0.053411138328426394,0.7637530878080502,0.8137474522100315,0.0047355055809021,0.013986642396896433,-0.0018104445582890656,0.011281455720093266,True,4
can_fit_now,11,0.836840033531189,0.8370674848556519,-0.00022745132446289062,4.693508148193359,4.663374423980713,-0.030133724212646484,0.7934857755899429,0.055583655361896564,0.7674718241190955,0.8194997270607903,20,leave-one-run_id-out,0.791096779704094,0.056116218231161634,0.7648335811381062,0.8173599782700818,0.002388995885848999,0.006513218138877439,-0.0006592840353011795,0.005437275806999178,True,5
total_free,11,0.836840033531189,0.8346712589263916,0.0021687746047973633,4.693508148193359,4.671380519866943,-0.022127628326416016,0.7934857755899429,0.055583655361896564,0.7674718241190955,0.8194997270607903,20,leave-one-run_id-out,0.7922896355390548,0.05834038416123876,0.7649854952755226,0.8195937758025871,0.0011961400508880616,0.008128222458613497,-0.002607985158328994,0.005000265260105117,True,6
max_free_node,11,0.836840033531189,0.838100016117096,-0.0012599825859069824,4.693508148193359,4.63267707824707,-0.06083106994628906,0.7934857755899429,0.055583655361896564,0.7674718241190955,0.8194997270607903,20,leave-one-run_id-out,0.793507742881775,0.055930308950405606,0.7673315525374681,0.8196839332260818,-2.1967291831970216e-05,0.006332340124617863,-0.0029855936965040393,0.0029416591128400985,True,7
gpu_fit_ratio,11,0.836840033531189,0.8322850465774536,0.0045549869537353516,4.693508148193359,4.7421040534973145,0.04859590530395508,0.7934857755899429,0.055583655361896564,0.7674718241190955,0.8194997270607903,20,leave-one-run_id-out,0.793729481101036,0.054049964467073955,0.7684333190639606,0.8190256431381114,-0.00024370551109313964,0.007619965886137158,-0.0038099593222336585,0.0033225483000473796,True,8
avg_free_per_node,11,0.836840033531189,0.8361842632293701,0.0006557703018188477,4.693508148193359,4.679028511047363,-0.014479637145996094,0.7934857755899429,0.055583655361896564,0.7674718241190955,0.8194997270607903,20,leave-one-run_id-out,0.7938238173723221,0.05867853950653272,0.7663614155355843,0.8212862192090599,-0.00033804178237915037,0.008522697836388933,-0.00432678715137305,0.0036507035866147493,True,9
variance_free,11,0.836840033531189,0.8377469182014465,-0.0009068846702575684,4.693508148193359,4.6384758949279785,-0.05503225326538086,0.7934857755899429,0.055583655361896564,0.7674718241190955,0.8194997270607903,20,leave-one-run_id-out,0.7939876973628998,0.05514172850145382,0.7681805740293235,0.819794820696476,-0.0005019217729568482,0.008368007750733415,-0.004418269953333635,0.0034144264074199384,True,10
node_availability,11,0.836840033531189,0.8377101421356201,-0.0008701086044311523,4.693508148193359,4.667064666748047,-0.0264434814453125,0.7934857755899429,0.055583655361896564,0.7674718241190955,0.8194997270607903,20,leave-one-run_id-out,0.7946690857410431,0.05751611165886025,0.7677507168834398,0.8215874545986465,-0.0011833101511001588,0.009041459101538384,-0.005414843265676626,0.0030482229634763076,True,11
fragmentation,11,0.836840033531189,0.8332944512367249,0.0035455822944641113,4.693508148193359,4.726312160491943,0.032804012298583984,0.7934857755899429,0.055583655361896564,0.7674718241190955,0.8194997270607903,20,leave-one-run_id-out,0.7951730906963348,0.05543257486762172,0.7692298470733371,0.8211163343193325,-0.0016873151063919068,0.006137651267431885,-0.004559824321131508,0.0011851941083476944,True,12
