feature,r2_on_other_11,vif,max_abs_corr_other,most_correlated_with,redundant_above_0p95,corr_job_gpu,corr_total_free,corr_queue_length,corr_running_jobs,corr_max_free_node,corr_variance_free,corr_can_fit_now,corr_gpu_fit_ratio,corr_fragmentation,corr_queue_pressure,corr_node_availability,corr_avg_free_per_node
job_gpu,0.5006232472873415,2.0024961005251285,0.468625046544033,node_availability,False,1.0,-0.02130160594363198,0.006108888541547569,0.006935496673849753,-0.0002027976013029602,-0.015263144836793812,-0.2929111146614691,-0.19501326671485497,0.00027488720037196275,-0.012958892819650967,-0.468625046544033,-0.02130160594363198
total_free,1.0,inf,1.0,avg_free_per_node,True,-0.02130160594363198,1.0,-0.3365824321122654,-0.7392704522068593,0.7692649601065723,0.6504950663264462,0.6582525168891069,0.666842991051286,0.6258379833624635,-0.5261486822562196,0.6117678851039724,1.0
queue_length,0.6036744640118734,2.523178319829381,0.5931068438694224,queue_pressure,False,0.006108888541547569,-0.3365824321122654,1.0,0.21873428241958495,-0.2663586304882706,-0.29738939414885435,-0.16715005272386319,-0.18340432370438686,-0.24502295204838406,0.5931068438694224,-0.20661234961499914,-0.3365824321122655
running_jobs,0.5496607447475992,2.2205481497266586,0.7392704522068593,total_free,False,0.006935496673849753,-0.7392704522068593,0.21873428241958495,1.0,-0.5535682742623017,-0.4641317959996874,-0.4627999292883097,-0.4730289466221786,-0.44222017347978904,0.3512512692921941,-0.4582467515163671,-0.7392704522068593
max_free_node,0.9450620629510528,18.202358037380346,0.9309931957431962,fragmentation,False,-0.0002027976013029602,0.7692649601065723,-0.2663586304882706,-0.5535682742623017,1.0,0.8599678838773748,0.7612652436582683,0.8812976200867418,0.9309931957431962,-0.711817016987052,0.44606130493738666,0.7692649601065723
variance_free,0.970675706512794,34.10141834913409,0.9507203594469089,fragmentation,True,-0.015263144836793812,0.6504950663264462,-0.29738939414885435,-0.4641317959996874,0.8599678838773748,1.0,0.6823199855810426,0.7184639471104995,0.9507203594469089,-0.5610830668666066,0.3710943463761798,0.6504950663264462
can_fit_now,0.8651218029773997,7.414096733754821,0.8920162831724223,gpu_fit_ratio,False,-0.2929111146614691,0.6582525168891069,-0.16715005272386319,-0.4627999292883097,0.7612652436582683,0.6823199855810426,1.0,0.8920162831724223,0.7279867396637003,-0.5453411595625254,0.5027720854755657,0.6582525168891069
gpu_fit_ratio,0.9485090741545401,19.420897635465085,0.8920162831724223,can_fit_now,False,-0.19501326671485497,0.666842991051286,-0.18340432370438686,-0.4730289466221786,0.8812976200867418,0.7184639471104995,0.8920162831724223,1.0,0.8406968201065047,-0.7002838878961234,0.4484809242720077,0.666842991051286
fragmentation,0.9850372379867116,66.83258071684243,0.9507203594469089,variance_free,True,0.00027488720037196275,0.6258379833624635,-0.24502295204838406,-0.44222017347978904,0.9309931957431962,0.9507203594469089,0.7279867396637003,0.8406968201065047,1.0,-0.6763741100712636,0.3532304484979711,0.6258379833624637
queue_pressure,0.8007716815133874,5.019366762698428,0.711817016987052,max_free_node,False,-0.012958892819650967,-0.5261486822562196,0.5931068438694224,0.3512512692921941,-0.711817016987052,-0.5610830668666066,-0.5453411595625254,-0.7002838878961234,-0.6763741100712636,1.0,-0.3056631216755864,-0.5261486822562196
node_availability,0.5955804844100674,2.4726798817838587,0.6117678851039724,total_free,False,-0.468625046544033,0.6117678851039724,-0.20661234961499914,-0.4582467515163671,0.44606130493738666,0.3710943463761798,0.5027720854755657,0.4484809242720077,0.3532304484979711,-0.3056631216755864,1.0,0.6117678851039724
avg_free_per_node,1.0,inf,1.0,total_free,True,-0.02130160594363198,1.0,-0.3365824321122655,-0.7392704522068593,0.7692649601065723,0.6504950663264462,0.6582525168891069,0.666842991051286,0.6258379833624637,-0.5261486822562196,0.6117678851039724,1.0
