trace,feature_set,extra_features,n_windows,ml_mean_wait_min,sjf_userest_mean_wait_min,pct_vs_sjf_userest,mean_diff_min,ci_low_min,ci_high_min,p_tost,tost_equivalent_to_sjf,beats_sjf_userest
sdsc,baseline,none,20,145.02826915137112,115.77149499388503,25.27113790750599,29.25677415748603,15.866378436672255,42.647169878299806,0.9829407666449308,False,False
sdsc,+est_runtime,est_runtime,20,124.9582111920003,115.77149499388503,7.935214275846144,9.18671619811527,2.604607355423793,15.768825040806746,0.26874908871948594,False,False
sdsc,+user_hist_wait,user_hist_wait,20,127.05780231315363,115.77149499388503,9.748779109974121,11.286307319268614,3.723557690715242,18.849056947821985,0.4738382056907149,False,False
sdsc,+user_hist_runtime,user_hist_runtime,20,122.05233731426728,115.77149499388503,5.425206196666969,6.280842320382251,0.9567572435461718,11.60492739721833,0.05082959290727342,False,False
sdsc,+queue_id,queue_id,20,131.75477979107032,115.77149499388503,13.805889608689533,15.98328479718531,5.289286669804016,26.6772829245666,0.7575738087680162,False,False
sdsc,+user_id,user_id,20,131.72736698297214,115.77149499388503,13.782211234233339,15.955871989087115,8.385962747225008,23.52578123094922,0.8351077934836035,False,False
sdsc,+all,est_runtime|user_hist_wait|user_hist_runtime|queue_id|user_id,20,122.6331129243968,115.77149499388503,5.92686302519821,6.861617930511736,-0.9210403608505308,14.644276221874001,0.1539644328917342,False,False
lanl,baseline,none,20,37.15540053573093,31.48640916574545,18.004566161049766,5.668991369985478,-1.386044577459535,12.72402731743049,0.7279525274483262,False,False
lanl,+est_runtime,est_runtime,20,36.99070799174638,31.48640916574545,17.481507011568485,5.504298826000933,-2.1560759409968835,13.16467359299875,0.699461997631009,False,False
lanl,+user_hist_wait,user_hist_wait,20,36.424152962428515,31.48640916574545,15.682143272326254,4.9377437966830575,-2.2733309112759525,12.148818504642069,0.6636282096141729,False,False
lanl,+user_hist_runtime,user_hist_runtime,20,36.56210845840907,31.48640916574545,16.120286266830178,5.075699292663618,-1.0541031895430601,11.205501774870296,0.703479637779191,False,False
lanl,+queue_id,queue_id,20,33.67776421946804,31.48640916574545,6.959685501726243,2.191355053722586,0.034215343218318615,4.348494764226854,0.22615312078437805,False,False
lanl,+user_id,user_id,20,36.59761761913875,31.48640916574545,16.23306241905115,5.111208453393295,-0.3650597366088893,10.587476643395481,0.7285857826219637,False,False
lanl,+all,est_runtime|user_hist_wait|user_hist_runtime|queue_id|user_id,20,31.951776477752063,31.48640916574545,1.4779942341373555,0.465367312006614,-0.887411978918436,1.818146602931664,0.0014043256550419912,True,False
