setting,ranking_instants,mean_queue_len,features_total,features_varying_mean,equal_size_diff_pred_violations,kendall_tau_vs_size_mean,kendall_tau_vs_size_min,pct_order_identical_to_size,pct_order_identical_to_arrival,pct_size_table_monotone,mean_distinct_predictions
synthetic (12 features),3646,10.163741086121778,12,2.6220515633571035,0,0.7131493669387036,-1.0,80.2523313219967,19.720241360394954,63.137685134393855,2.8049917718047177
SDSC SP2 (1998) (8 features),11843,8.475892932533986,8,2.8681921810352105,0,0.7518832993306538,-1.0,71.52748459005319,18.111964873765093,57.11390694925272,3.0883222156548173
LANL CM-5 (1994) (8 features),29943,9.098386935176835,8,2.6855692482383198,0,0.6206617494336178,-1.0,77.63083191396987,27.465517817185987,56.90144608088702,2.2772601275757274
