trace,scheduler,windows,jobs_measured,mean_wait,median_wait,mean_bounded_slowdown,mean_wait_vs_proactive_pct,partial,windows_requested
lanl,PROACTIVE,20,18505,2229.324032143856,0.0,6.126598256727566,0.0,False,20
lanl,PROACTIVE_ENQUEUE_CACHED,20,18505,2491.112413202188,0.0,7.781304859768362,11.742948861793757,False,20
lanl,SJF_USEREST,20,18505,1889.184549944727,0.0,4.512054995278405,-15.257516507011765,False,20
sdsc,PROACTIVE,20,6170,8701.696149082263,75.975,18.48824715653467,0.0,False,20
sdsc,PROACTIVE_ENQUEUE_CACHED,20,6170,8559.029517196026,105.35,21.558346955974503,-1.6395267019440076,False,20
sdsc,SJF_USEREST,20,6170,6946.289699633102,98.125,14.702714858188425,-20.173152674772467,False,20
