metric,mean,ci_lower,ci_upper,n,t_stat,p_value_raw,p_value_bh,significant_0_05,note
fifo_mean_wait,18.268863636363637,16.561545454545456,19.963874999999998,40,,2.001470727467938e-06,2.001470727467938e-06,True,
proactive_mean_wait,16.640454545454542,15.169051136363636,18.13114772727273,40,,2.001470727467938e-06,2.001470727467938e-06,True,
wait_improvement_pct,7.897862356147859,4.9102160972224125,10.671388946113114,40,5.577153919180633,2.001470727467938e-06,2.001470727467938e-06,True,
paired_ttest_gpu_utilization,,,,40,,,,False,n/a (zero variance)
paired_ttest_completed_jobs,,,,40,,,,False,n/a (zero variance)
