removed_feature,remaining_features,baseline_r2,ablation_r2,r2_drop,baseline_mae,ablation_mae,mae_increase,importance_rank
job_gpu,11,0.8241599798202515,0.5868126153945923,0.23734736442565918,5.399724960327148,7.852019309997559,2.45229434967041,1
queue_length,11,0.8241599798202515,0.8087807297706604,0.015379250049591064,5.399724960327148,5.661000728607178,0.2612757682800293,2
running_jobs,11,0.8241599798202515,0.8160523176193237,0.008107662200927734,5.399724960327148,5.506360054016113,0.10663509368896484,3
variance_free,11,0.8241599798202515,0.8195319175720215,0.0046280622482299805,5.399724960327148,5.4611496925354,0.06142473220825195,4
can_fit_now,11,0.8241599798202515,0.8203486204147339,0.003811359405517578,5.399724960327148,5.462006092071533,0.062281131744384766,5
queue_pressure,11,0.8241599798202515,0.8204895257949829,0.0036704540252685547,5.399724960327148,5.540963649749756,0.14123868942260742,6
node_availability,11,0.8241599798202515,0.8216999769210815,0.002460002899169922,5.399724960327148,5.4361772537231445,0.036452293395996094,7
max_free_node,11,0.8241599798202515,0.822181761264801,0.0019782185554504395,5.399724960327148,5.4032392501831055,0.0035142898559570312,8
gpu_fit_ratio,11,0.8241599798202515,0.8224175572395325,0.0017424225807189941,5.399724960327148,5.442039966583252,0.042315006256103516,9
avg_free_per_node,11,0.8241599798202515,0.8226910829544067,0.0014688968658447266,5.399724960327148,5.403536796569824,0.0038118362426757812,10
total_free,11,0.8241599798202515,0.8242684602737427,-0.00010848045349121094,5.399724960327148,5.476349353790283,0.07662439346313477,11
fragmentation,11,0.8241599798202515,0.8249289393424988,-0.0007689595222473145,5.399724960327148,5.400894641876221,0.0011696815490722656,12
