trace,scheduler_a,scheduler_b,metric,n,mean_a,mean_b,pct_diff,margin_frac,margin,mean_diff,ci_low,ci_high,p_lower,p_upper,p_tost,equivalent
sdsc,SMALLEST_FIRST,PROACTIVE,mean_wait,20,8697.251757691665,8701.696149082267,-0.05107500094760637,0.1,870.1696149082268,-4.444391390600299,-101.74206024672007,92.85327746551947,1.7601021436947869e-12,1.4694601022046776e-12,1.7601021436947869e-12,True
sdsc,PROACTIVE_EST,SJF_USEREST,mean_wait,20,7497.492671520018,6946.289699633102,7.935214275846144,0.1,694.6289699633103,551.2029718869162,156.27644132542758,946.1295024484048,1.454545316175017e-05,0.26874908871948594,0.26874908871948594,False
sdsc,PROACTIVE,FCFS,mean_wait,20,8701.696149082267,10477.45336896466,-16.94836671993574,0.1,1047.745336896466,-1775.7572198823952,-3184.140843740908,-367.37359602388256,0.80869735326687,0.0012921217785809248,0.80869735326687,False
sdsc,SMALLEST_FIRST,PROACTIVE,mean_bounded_slowdown,20,18.990594070507786,18.48824715653467,2.717114876926353,0.1,1.848824715653467,0.5023469139731154,-0.12539870330731906,1.13009253125355,1.6572773135971804e-06,0.0007446284698597529,0.0007446284698597529,True
sdsc,PROACTIVE_EST,SJF_USEREST,mean_bounded_slowdown,20,14.706746917906738,14.702714858188425,0.027423912911342125,0.1,1.4702714858188426,0.004032059718312553,-2.4708231196042463,2.4788872390408714,0.15795682494107566,0.15924890901476255,0.15924890901476255,False
sdsc,PROACTIVE,FCFS,mean_bounded_slowdown,20,18.48824715653467,34.6873103281897,-46.700257294064016,0.1,3.4687310328189707,-16.19906317165503,-27.323035031498307,-5.075091311811752,0.9687423610493502,0.003242167896970501,0.9687423610493502,False
lanl,SMALLEST_FIRST,PROACTIVE,mean_wait,20,2549.341513987956,2229.3240321438557,14.354911050609005,0.1,222.93240321438557,320.0174818441005,92.80365017315376,547.2313135150472,0.0002834366670531191,0.7654809151595332,0.7654809151595332,False
lanl,PROACTIVE_EST,SJF_USEREST,mean_wait,20,2219.442479504783,1889.184549944727,17.481507011568485,0.1,188.9184549944727,330.25792956005597,-129.364556459813,789.8804155799249,0.0328429087028509,0.699461997631009,0.699461997631009,False
lanl,PROACTIVE,FCFS,mean_wait,20,2229.3240321438557,2329.1482761330662,-4.285869002506885,0.1,232.91482761330664,-99.82424398920998,-338.81117219926426,139.1626842208443,0.17383574690485387,0.013196237290867855,0.17383574690485387,False
lanl,SMALLEST_FIRST,PROACTIVE,mean_bounded_slowdown,20,6.570937414089824,6.126598256727564,7.2526243560092185,0.1,0.6126598256727565,0.4443391573622593,-0.10175785853112979,0.9904361732556484,0.0016940176803031128,0.3001195321182851,0.3001195321182851,False
lanl,PROACTIVE_EST,SJF_USEREST,mean_bounded_slowdown,20,5.838282147982891,4.5120549952784055,29.392974023860585,0.1,0.45120549952784056,1.3262271527044862,-0.6658831244621575,3.31833742987113,0.06968618441581825,0.7715660323270319,0.7715660323270319,False
lanl,PROACTIVE,FCFS,mean_bounded_slowdown,20,6.126598256727564,8.212808517843126,-25.401910401089552,0.1,0.8212808517843126,-2.086210261115558,-4.327069517818613,0.15464899558749678,0.829352292231056,0.018488081858790608,0.829352292231056,False
