trace,window,offered_load,recorded_mean_wait_min,recorded_median_wait_min,sim_fcfs_mean_wait_min
sdsc,1,0.7755506184895833,671.6740072202167,43.03333333333333,424.20517448856793
sdsc,2,0.826199779369213,614.2032679738562,0.48333333333333334,412.7425653594771
sdsc,3,0.9468685438368055,701.9540915915916,0.7666666666666667,239.88877627627627
sdsc,4,0.717754322193287,915.4129100529101,29.566666666666666,175.46925925925925
sdsc,5,0.749697193287037,645.2998366013072,30.825,124.98202614379085
sdsc,6,0.805636329933449,997.3042349726776,79.975,352.64344262295083
sdsc,7,0.6950116644965277,445.25704145371947,4.033333333333333,26.27086882453152
sdsc,8,0.8012596480758102,511.5106633081444,10.983333333333333,131.29399664147775
sdsc,9,0.8195593171296296,484.1943561208267,0.65,225.4966613672496
sdsc,10,0.7439194245515046,777.4996149614961,1.0666666666666667,71.88987898789878
sdsc,11,0.594372413917824,565.3337625178827,0.8833333333333333,64.35450643776825
sdsc,12,0.7796521538628473,638.3173958333333,62.675,332.19072916666664
sdsc,13,0.7487813765914352,490.27876787678764,0.4666666666666667,177.6509900990099
sdsc,14,0.6958443106192129,598.1622291021672,0.5,50.89293085655314
sdsc,15,0.5839059606481481,951.4189138576779,10.416666666666666,145.374531835206
sdsc,16,0.5444851888020833,805.1454692556634,17.091666666666665,30.450970873786407
sdsc,17,0.5388783094618056,524.6531707317073,1.8666666666666667,54.903089430894305
sdsc,18,0.7707618815104167,240.24690618762477,0.48333333333333334,94.79860279441118
sdsc,19,0.7081260941116898,581.968253968254,51.18333333333333,221.99179894179895
sdsc,20,0.6188404857494213,458.5562365591398,39.36666666666667,134.9936559139785
lanl,1,0.7753771339699074,33.023370672097755,0.03333333333333333,69.22606924643584
lanl,2,0.6954469401041666,63.55600775193798,0.05,28.83716085271318
lanl,3,0.6710598234953704,39.569935064935066,0.03333333333333333,23.17422077922078
lanl,4,0.4095782696759259,34.13241959064327,0.03333333333333333,3.18983918128655
lanl,5,0.4819011863425926,23.773893805309736,0.03333333333333333,6.041851032448378
lanl,6,0.4402075737847222,12.059819598195983,0.03333333333333333,4.563571135711357
lanl,7,0.6313195529513889,11.758082706766917,0.03333333333333333,12.283161027568923
lanl,8,0.7511029730902777,25.068130165289254,0.03333333333333333,34.988533057851235
lanl,9,0.7802638527199074,39.494364998297584,0.03333333333333333,37.15277494041539
lanl,10,0.8008363353587963,26.763784722222223,0.03333333333333333,19.63421875
lanl,11,0.958526294849537,33.60564853556485,0.03333333333333333,261.3258135750814
lanl,12,0.7613624855324074,44.6409744128987,0.03333333333333333,64.55515247108308
lanl,13,0.5515893373842593,30.086954148471616,0.03333333333333333,5.3808951965065495
lanl,14,0.8250421730324075,35.709263995453256,0.03333333333333333,114.24623472577437
lanl,15,0.8528593388310185,41.65661347517731,0.03333333333333333,35.52641843971631
lanl,16,0.5842457682291666,26.86137870855148,0.03333333333333333,4.2733158813263525
lanl,17,0.5283719618055556,37.94329523809524,0.03333333333333333,3.3502666666666667
lanl,18,0.5559147858796296,31.240439814814813,0.03333333333333333,9.991597222222222
lanl,19,0.6892072844328704,42.247477604903345,0.03333333333333333,17.86032531824611
lanl,20,0.7572550274884259,31.771011754827878,0.03333333333333333,20.78133921074727
