trace,reference,scheduler,metric,mean_wait_sched,mean_wait_ref,mean_diff,pct_vs_ref,cohens_dz,ttest_p,wilcoxon_p,ttest_p_holm,wilcoxon_p_holm,mean_bounded_slowdown_sched,mean_bounded_slowdown_ref
sdsc,PROACTIVE,CONS_BF_USEREST,mean_wait,12449.33183966191,8701.696149082267,3747.6356905796456,43.0678758068896,0.798282742232414,0.0020430746436975226,0.002712249755859375,0.012258447862185134,0.013561248779296875,,
sdsc,PROACTIVE,EASY_ORACLE,mean_wait,11024.666788161998,8701.696149082267,2322.970639079732,26.695607376783965,0.5546444601694185,0.02265415184172076,0.05316925048828125,0.06796245552516228,0.1063385009765625,,
sdsc,PROACTIVE,EASY_USEREST,mean_wait,11705.170880242451,8701.696149082267,3003.4747311601855,34.51596883760357,0.6315947041114746,0.010827493037017036,0.023950576782226562,0.04330997214806814,0.09580230712890625,,
sdsc,PROACTIVE,FCFS,mean_wait,10477.45336896466,8701.696149082267,1775.7572198823952,20.407023980832488,0.4875015227290521,0.04202514352903514,0.029575347900390625,0.08405028705807029,0.09580230712890625,,
sdsc,PROACTIVE,FIFO_STRICT,mean_wait,45308.47843492056,8701.696149082267,36606.78228583829,420.6855957582369,1.2937002383897707,1.4194730902953966e-05,1.9073486328125e-06,0.00014194730902953966,2.09808349609375e-05,,
sdsc,PROACTIVE,HRRN_USEREST,mean_wait,7578.2763226933475,8701.696149082267,-1123.4198263889161,-12.910354569291629,-0.8716380084882691,0.0009670330599218157,0.000624865006410599,0.007736264479374526,0.0037491900384635938,,
sdsc,PROACTIVE,PROACTIVE_EST,mean_wait,7497.492671520018,8701.696149082267,-1204.2034775622458,-13.838721289863107,-0.7178036564435939,0.004608463641019284,0.0001049041748046875,0.023042318205096418,0.0008392333984375,,
sdsc,PROACTIVE,SJF_ORACLE,mean_wait,6650.464388749965,8701.696149082267,-2051.231760332298,-23.572780814101783,-0.9878852798445881,0.0002954078480484837,5.7220458984375e-06,0.002658670632436353,5.14984130859375e-05,,
sdsc,PROACTIVE,SJF_USEREST,mean_wait,6946.289699633102,8701.696149082267,-1755.406449449162,-20.173152674772467,-0.8447853650965468,0.001272077812763624,0.0001318338889828333,0.008904544689345368,0.000922837222879833,,
sdsc,PROACTIVE,SMALLEST_FIRST,mean_wait,8697.251757691665,8701.696149082267,-4.444391390600299,-0.05107500094759147,-0.017661322321641044,0.9378714183170082,0.40804420568711997,0.9378714183170082,0.40804420568711997,,
sdsc,PROACTIVE,SRPT_ORACLE,mean_wait,3607.022747328494,8701.696149082267,-5094.67340175377,-58.548049879805156,-1.3649720631318032,7.200225455250355e-06,1.9073486328125e-06,7.92024800077539e-05,2.09808349609375e-05,,
sdsc,EASY_USEREST,CONS_BF_USEREST,mean_wait,12449.33183966191,11705.170880242451,744.1609594194605,6.3575403301079065,0.36723404137325266,0.11697143046801366,0.0176206611104818,0.17359558119298443,0.0704826444419272,,
sdsc,EASY_USEREST,EASY_ORACLE,mean_wait,11024.666788161998,11705.170880242451,-680.5040920804532,-5.813704891990076,-0.4513804083069374,0.05786519373099481,0.011236471025746899,0.17359558119298443,0.0561823551287345,,
sdsc,EASY_USEREST,FCFS,mean_wait,10477.45336896466,11705.170880242451,-1227.71751127779,-10.488676533121746,-0.4253612731053147,0.07240462883681466,0.069580078125,0.17359558119298443,0.07185173034667969,,
sdsc,EASY_USEREST,FIFO_STRICT,mean_wait,45308.47843492056,11705.170880242451,33603.30755467811,287.08087988188413,1.306336762323974,1.2573761072819692e-05,1.9073486328125e-06,0.00012628571340385852,2.09808349609375e-05,,
sdsc,EASY_USEREST,HRRN_USEREST,mean_wait,7578.2763226933475,11705.170880242451,-4126.894557549101,-35.25702101893295,-0.8168794989396438,0.0016907808091421955,0.001209259033203125,0.011835465663995369,0.008464813232421875,,
sdsc,EASY_USEREST,PROACTIVE,mean_wait,8701.696149082267,11705.170880242451,-3003.4747311601855,-25.659383890156196,-0.6315947041114746,0.010827493037017036,0.023950576782226562,0.05364365973150885,0.07185173034667969,,
sdsc,EASY_USEREST,PROACTIVE_EST,mean_wait,7497.492671520018,11705.170880242451,-4207.678208722432,-35.94717455876456,-0.7417041876158827,0.0036238126006142477,0.0072956085205078125,0.021742875603685485,0.043773651123046875,,
