trace,jobs,estimate_present_pct,ratio_median,ratio_mean,ratio_p90,under_estimate_frac,accurate_within_2x_frac,fmodel_C5_ratio_median,fmodel_under_estimate_frac
sdsc,43117,99.93042187536238,6.907137375287798,61.42012152869092,87.5,0.001230069394480934,0.2401420382017778,3.0,0.0
lanl,122055,90.75334890008602,1.5143017386427369,23.826191177539872,30.0,0.36273686681291695,0.41676822937825564,3.0,0.0
