trace,scheduler,mean_wait,median_wait,p95_wait,max_wait,mean_bounded_slowdown,p95_bounded_slowdown,mean_turnaround,fairness_gini,gpu_util,preemptions,jobs_measured,offered_load
lanl,SRPT_ORACLE,878.3746746811528,0.0,2980.1649999999922,127792.75,1.0718430975384154,1.310560809724734,3890.747176163125,0.969090108477021,0.6665699563204359,478.85,925.25,0.6750734049479167
lanl,SJF_ORACLE,1380.4325198298222,0.0,5066.429999999996,135834.0,2.8050175305888807,7.465464479245023,4392.805021311794,0.9406114659872828,0.6589315726417299,0.0,925.25,0.6750734049479167
lanl,HRRN_USEREST,1771.8124708686748,12.975,9763.464999999986,64837.95,4.984571346303854,15.172814798630537,4784.184972350647,0.9108391911372442,0.6620740942142274,0.0,925.25,0.6750734049479167
lanl,SJF_USEREST,1889.184549944727,0.0,8049.7899999999645,97756.2,4.512054995278405,11.810817234055055,4901.557051426699,0.9334202171659239,0.6590049365375842,0.0,925.25,0.6750734049479167
lanl,PROACTIVE_EST,2219.442479504783,0.6,13201.679999999984,116484.5,5.838282147982891,12.80023583198037,5231.8149809867555,0.9324966810169719,0.6593009540003707,0.0,925.25,0.6750734049479167
lanl,PROACTIVE,2229.324032143856,0.0,16666.889999999992,59230.3,6.126598256727566,14.396377741033955,5241.696533625827,0.9233010926510066,0.6606584618854182,0.0,925.25,0.6750734049479167
lanl,FCFS,2329.148276133066,239.65,13610.759999999984,39817.0,8.212808517843124,34.07582813445804,5341.520777615037,0.8784850969436292,0.6646154786217935,0.0,925.25,0.6750734049479167
lanl,SMALLEST_FIRST,2549.341513987956,0.0,20587.94249999996,65885.7,6.5709374140898245,14.691445972045608,5561.714015469928,0.9300902372343526,0.659201871759703,0.0,925.25,0.6750734049479167
lanl,EASY_ORACLE,2758.84706337263,981.95,11441.367499999991,24345.8,8.46824198809197,37.20132186525042,5771.219564854602,0.7887098899253937,0.6649420617788402,0.0,925.25,0.6750734049479167
lanl,EASY_USEREST,4810.486058017742,2297.85,17407.999999999993,35816.9,20.546638738288607,100.64267820896671,7822.858559499713,0.7688145001318855,0.6611105591322828,0.0,925.25,0.6750734049479167
lanl,CONS_BF_USEREST,6815.033337057475,5066.225,20345.482499999995,34176.05,28.425569662534507,151.28394751671414,9827.405838539447,0.7268219625036887,0.6597114190831133,0.0,925.25,0.6750734049479167
lanl,FIFO_STRICT,12343.719541058064,11552.225,27550.59249999999,34943.25,71.37535156784502,310.3348364629587,15356.092042540036,0.6167227843036104,0.6573715965181224,0.0,925.25,0.6750734049479167
sdsc,SRPT_ORACLE,3607.022747328494,0.0,17723.937499999978,187150.5,1.1065541625102855,1.6309098410259413,11362.707982178834,0.9476428883912439,0.6851154585603249,190.9,308.5,0.7232552508318866
sdsc,SJF_ORACLE,6650.464388749965,50.275,29209.457499999968,251393.55,13.179104188632618,73.08935516322538,14406.149623600306,0.8851981708465102,0.6814709938845429,0.0,308.5,0.7232552508318866
sdsc,SJF_USEREST,6946.289699633102,98.125,32611.74999999997,236172.0,14.702714858188425,65.53201236384464,14701.974934483442,0.8823134686085286,0.6816705632071591,0.0,308.5,0.7232552508318866
sdsc,PROACTIVE_EST,7497.492671520018,113.425,36335.687499999956,229972.2,14.706746917906738,66.40204958847822,15253.177906370358,0.8830418338834709,0.6813491814971094,0.0,308.5,0.7232552508318866
sdsc,HRRN_USEREST,7578.276322693348,267.325,38306.43249999998,210265.05,16.78894925038501,77.45527475254937,15333.961557543687,0.864941867573093,0.6849750779639063,0.0,308.5,0.7232552508318866
sdsc,SMALLEST_FIRST,8697.251757691663,73.25,43424.96999999996,225596.4,18.990594070507786,98.22229699816072,16452.936992542003,0.8843252996790507,0.680102850192886,0.0,308.5,0.7232552508318866
sdsc,PROACTIVE,8701.696149082263,75.975,43996.42749999996,224339.65,18.48824715653467,94.52033171235493,16457.381383932603,0.8858603284237576,0.6812957018870862,0.0,308.5,0.7232552508318866
sdsc,FCFS,10477.45336896466,695.05,51586.05499999998,175772.55,34.6873103281897,196.66281212287967,18233.138603815,0.8310291479767005,0.6862007595559396,0.0,308.5,0.7232552508318866
sdsc,EASY_ORACLE,11024.666788161996,2303.625,49037.05999999998,91286.95,35.676257144312785,212.53947902228055,18780.352023012336,0.7713277558366138,0.6896590359227432,0.0,308.5,0.7232552508318866
sdsc,EASY_USEREST,11705.170880242451,2253.375,53001.77999999999,95908.15,42.4655211404601,231.77920119298514,19460.856115092793,0.7705716025192906,0.6890742131750407,0.0,308.5,0.7232552508318866
sdsc,CONS_BF_USEREST,12449.33183966191,2354.6,54639.24249999998,95135.05,40.540171832946875,218.05887065801215,20205.017074512252,0.7598046520699747,0.6870664265361828,0.0,308.5,0.7232552508318866
sdsc,FIFO_STRICT,45308.47843492056,42876.575,97271.45999999998,115292.75,281.5298920583766,1167.4100362310642,53064.1636697709,0.44693169606618033,0.6711174031934208,0.0,308.5,0.7232552508318866
