reference,scheduler,metric,mean_wait_sched,mean_wait_ref,mean_diff,pct_vs_ref,cohens_dz,ttest_p,wilcoxon_p,ttest_p_holm,wilcoxon_p_holm
PROACTIVE,BACKFILL,mean_wait,19.247727272727275,15.947727272727272,3.3,20.69260367678495,2.9236988457884587,6.002411234378128e-11,1.9073486328125e-06,6.602652357815941e-10,2.47955322265625e-05
PROACTIVE,BACKFILL_EST,mean_wait,19.227727272727275,15.947727272727272,3.2800000000000002,20.56719395753171,2.4749596963400484,1.0016792151734642e-09,3.814697265625e-06,9.015112936561178e-09,2.6702880859375e-05
PROACTIVE,CONS_BF,mean_wait,21.843636363636367,15.947727272727272,5.8959090909090905,36.970215191677354,3.561801022073812,1.90420827887921e-12,1.9073486328125e-06,2.4754707625429728e-11,2.47955322265625e-05
PROACTIVE,FIFO,mean_wait,17.215909090909093,15.947727272727272,1.2681818181818185,7.952116289012401,1.0957111888810849,9.939485179852195e-05,0.0003948211669921875,0.0004969742589926098,0.0019741058349609375
PROACTIVE,FIFO_STRICT,mean_wait,26.17454545454545,15.947727272727272,10.22681818181818,64.1271198517885,3.400660290553121,4.317772258793062e-12,1.9073486328125e-06,5.181326710551674e-11,2.47955322265625e-05
PROACTIVE,HRRN,mean_wait,15.553636363636366,15.947727272727272,-0.3940909090909092,-2.4711415134672947,-0.37232845686106125,0.11229580449005856,0.082550048828125,0.17449565765455471,0.082550048828125
PROACTIVE,NN,mean_wait,16.074545454545454,15.947727272727272,0.12681818181818177,0.7952116289012396,0.48333961622478494,0.04362391441363868,0.014415281282954728,0.17449565765455471,0.05766112513181891
PROACTIVE,PRIORITY,mean_wait,16.53181818181818,15.947727272727272,0.5840909090909092,3.662533846373095,0.4823307521219051,0.044019726508098905,0.01923370361328125,0.17449565765455471,0.05766112513181891
PROACTIVE,PROACTIVE_BF,mean_wait,19.201363636363634,15.947727272727272,3.253636363636363,20.401881145788796,2.5035293001529033,8.279811841135514e-10,1.9073486328125e-06,8.279811841135513e-09,2.47955322265625e-05
PROACTIVE,SJF,mean_wait,12.34,15.947727272727272,-3.607727272727273,-22.622203220749608,-2.153864753626315,9.588729201600074e-09,1.9073486328125e-06,7.670983361280059e-08,2.47955322265625e-05
PROACTIVE,SJF_EST,mean_wait,13.317727272727273,15.947727272727272,-2.63,-16.49137808180134,-1.7262715115471488,2.832624034020021e-07,1.9073486328125e-06,1.9828368238140145e-06,2.47955322265625e-05
PROACTIVE,SMALLEST,mean_wait,16.074545454545454,15.947727272727272,0.12681818181818177,0.7952116289012396,0.48333961622478494,0.04362391441363868,0.014415281282954728,0.17449565765455471,0.05766112513181891
PROACTIVE,SRPT,mean_wait,14.023181818181817,15.947727272727272,-1.9245454545454543,-12.067835257232435,-1.3071883942803346,1.247159893611476e-05,5.7220458984375e-06,7.482959361668857e-05,3.4332275390625e-05
FIFO,BACKFILL,mean_wait,19.247727272727275,17.215909090909093,2.031818181818182,11.801980198019804,2.534670141913256,6.740187109356225e-10,1.9073486328125e-06,6.066168398420602e-09,2.47955322265625e-05
FIFO,BACKFILL_EST,mean_wait,19.227727272727275,17.215909090909093,2.0118181818181817,11.685808580858085,2.6840701361493573,2.578068001217452e-10,8.844915021211901e-05,2.835874801339197e-09,0.00044224575106059503
FIFO,CONS_BF,mean_wait,21.843636363636367,17.215909090909093,4.627727272727272,26.880528052805275,3.5201844211603133,2.3452414862798535e-12,1.9073486328125e-06,3.005001718429341e-11,2.47955322265625e-05
FIFO,FIFO_STRICT,mean_wait,26.17454545454545,17.215909090909093,8.958636363636366,52.03696369636964,3.523062326259726,2.3115397834071854e-12,1.9073486328125e-06,3.005001718429341e-11,2.47955322265625e-05
FIFO,HRRN,mean_wait,15.553636363636366,17.215909090909093,-1.6622727272727276,-9.655445544554455,-1.5925195079633183,9.007494470200917e-07,3.814697265625e-06,4.503747235100459e-06,2.6702880859375e-05
FIFO,NN,mean_wait,16.074545454545454,17.215909090909093,-1.1413636363636368,-6.629702970297031,-1.0248041520796423,0.00020310369374315092,0.001695889903397192,0.0006093110812294528,0.005087669710191576
FIFO,PRIORITY,mean_wait,16.53181818181818,17.215909090909093,-0.6840909090909092,-3.9735973597359737,-0.402847227252418,0.08750177835383612,0.10539817810058594,0.08750177835383612,0.10539817810058594
FIFO,PROACTIVE,mean_wait,15.947727272727272,17.215909090909093,-1.2681818181818185,-7.3663366336633676,-1.0957111888810849,9.939485179852195e-05,0.0003948211669921875,0.0003975794071940878,0.00157928466796875
FIFO,PROACTIVE_BF,mean_wait,19.201363636363634,17.215909090909093,1.9854545454545458,11.532673267326734,2.6562015622670114,3.074457101810363e-10,1.9073486328125e-06,3.074457101810363e-09,2.47955322265625e-05
FIFO,SJF,mean_wait,12.34,17.215909090909093,-4.875909090909092,-28.322112211221125,-2.2598684924248884,4.436571399402402e-09,1.9073486328125e-06,3.5492571195219215e-08,2.47955322265625e-05
FIFO,SJF_EST,mean_wait,13.317727272727273,17.215909090909093,-3.8981818181818184,-22.64290429042904,-2.0152832675351107,2.732512053340278e-08,1.9073486328125e-06,1.9127584373381946e-07,2.47955322265625e-05
FIFO,SMALLEST,mean_wait,16.074545454545454,17.215909090909093,-1.1413636363636368,-6.629702970297031,-1.0248041520796423,0.00020310369374315092,0.001695889903397192,0.0006093110812294528,0.005087669710191576
FIFO,SRPT,mean_wait,14.023181818181817,17.215909090909093,-3.1927272727272724,-18.54521452145214,-1.6531101203630063,5.301638055426702e-07,5.7220458984375e-06,3.1809828332560212e-06,3.4332275390625e-05
