scheduler,mean_wait,max_wait,starvation_count,fairness_gini,completed_jobs
fifo,18.575,57.85,22.25,0.5261904919201371,110.0
proactive,16.547727272727272,122.65,18.35,0.7936274161073568,110.0
proactive_starvation,16.40909090909091,88.15,30.2,0.6921033245260083,110.0
