mean_wait,max_wait,p95_wait,mean_turnaround,mean_bounded_slowdown,throughput,fairness_gini,gpu_util,preemptions,pred_wait_mae,run,scheduler
20.545454545454547,80.0,61.19999999999999,33.445454545454545,2.8701630333656087,0.36666666666666664,0.5356395816572808,0.6472916666666667,0,,1,FIFO
29.51818181818182,67.0,64.0,42.41818181818182,3.5758251236051692,0.36666666666666664,0.4006243525492062,0.6472916666666667,0,,1,FIFO_STRICT
16.418181818181818,141.0,84.19999999999999,29.318181818181817,2.0395731021019508,0.36666666666666664,0.7633444075304541,0.6472916666666667,0,,1,SJF
17.945454545454545,165.0,91.94999999999997,30.845454545454544,2.2954906168588267,0.36666666666666664,0.7610665929814866,0.6472916666666667,0,,1,SJF_EST
23.136363636363637,129.0,91.74999999999999,36.03636363636364,3.2652545008701783,0.36666666666666664,0.6808894445436685,0.6472916666666667,0,,1,PRIORITY
19.418181818181818,75.0,59.099999999999994,32.31818181818182,2.5398455470788712,0.36666666666666664,0.5642322097378277,0.6472916666666667,0,,1,HRRN
19.172727272727272,134.0,100.1,32.07272727272727,2.768580667854521,0.36666666666666664,0.7567352041036252,0.6472916666666667,0,,1,SMALLEST
19.172727272727272,134.0,100.1,32.07272727272727,2.768580667854521,0.36666666666666664,0.7567352041036252,0.6472916666666667,0,19.22539798392152,1,PROACTIVE
19.172727272727272,134.0,100.1,32.07272727272727,2.768580667854521,0.36666666666666664,0.7567352041036252,0.6472916666666667,0,18.764650961267154,1,NN
23.009090909090908,60.0,53.55,35.90909090909091,3.030099303704708,0.36666666666666664,0.43428396968499694,0.6472916666666667,0,,1,BACKFILL
22.454545454545453,66.0,59.0,35.35454545454545,3.0046807895485075,0.36666666666666664,0.5091203533308797,0.6472916666666667,0,,1,BACKFILL_EST
26.2,60.0,56.0,39.1,3.291089714183931,0.36666666666666664,0.3990789224654597,0.6472916666666667,0,,1,CONS_BF
21.727272727272727,64.0,56.099999999999994,34.627272727272725,2.913906263506953,0.36666666666666664,0.5024800304298213,0.6472916666666667,0,9.70943338141184,1,PROACTIVE_BF
18.563636363636363,143.0,85.0,31.463636363636365,2.044730462918262,0.36666666666666664,0.7722197489092689,0.6652083333333333,54,,1,SRPT
7.336363636363636,34.0,26.0,19.20909090909091,1.7585141891991736,0.36666666666666664,0.5702940182494086,0.5796875,0,,2,FIFO
12.00909090909091,37.0,34.55,23.881818181818183,2.16549079743317,0.36666666666666664,0.46322345330672354,0.5796875,0,,2,FIFO_STRICT
5.745454545454545,81.0,25.84999999999998,17.618181818181817,1.4398490412939469,0.36666666666666664,0.773187571921749,0.5796875,0,,2,SJF
6.5181818181818185,82.0,31.949999999999974,18.39090909090909,1.572400176011561,0.36666666666666664,0.7665145175605427,0.5796875,0,,2,SJF_EST
8.827272727272728,90.0,41.19999999999999,20.7,2.029784963488524,0.36666666666666664,0.7407265237337327,0.5796875,0,,2,PRIORITY
7.390909090909091,37.0,27.0,19.263636363636362,1.7056298778698862,0.36666666666666664,0.5752991166275299,0.5796875,0,,2,HRRN
8.227272727272727,77.0,50.84999999999998,20.1,1.990621085024054,0.36666666666666664,0.8074836765444501,0.5796875,0,,2,SMALLEST
