scheduler,over_factor,mean_wait,max_wait,mean_bounded_slowdown,fairness_gini,wait_diff_vs_proactive_ci95_low,wait_diff_vs_proactive_ci95_high,ttest_p_vs_proactive
BACKFILL,,19.24772727272727,51.55,2.825907963852219,0.4514832969944593,2.77174875982508,3.82825124017492,6.002411234378128e-11
BACKFILL_EST,1.0,19.24772727272727,51.55,2.825907963852219,0.4514832969944593,2.77174875982508,3.82825124017492,6.002411234378128e-11
BACKFILL_EST,2.0,19.278636363636362,52.85,2.807836957468994,0.46428288227770553,2.7643827194028345,3.8974354624153476,1.6913917062274382e-10
BACKFILL_EST,3.0,19.347272727272728,53.1,2.8154117869535478,0.46531298210760363,2.7713659719708414,4.027724937120068,6.82480822519095e-10
BACKFILL_EST,5.0,19.22772727272727,53.8,2.8067554798865486,0.47211788240729435,2.65975262573875,3.9002473742612507,1.0016792151734642e-09
BACKFILL_EST,10.0,18.936363636363637,53.75,2.7753652227838304,0.48098898637170623,2.4105540806506394,3.566718646622088,1.4556356830695797e-09
BACKFILL_MODAL,,19.830909090909092,53.15,2.8785324970632455,0.4529833793483854,3.2392018304862695,4.527161805877366,1.1000626080403017e-10
FIFO,,17.21590909090909,54.65,2.638486305769394,0.5160252338296477,0.7264995145859277,1.8098641217777094,9.939485179852195e-05
PROACTIVE,,15.947727272727272,128.75,2.5482149960228346,0.7934379227503998,,,
SJF,,12.34,145.7,1.7935143657199668,0.7853697934735475,-4.391652231445155,-2.8238023140093906,9.588729201600074e-09
SJF_EST,1.0,12.34,145.7,1.7935143657199668,0.7853697934735475,-4.391652231445155,-2.8238023140093906,9.588729201600074e-09
SJF_EST,2.0,12.735454545454546,147.0,1.8565683942390598,0.7890496523237526,-3.9368709720436077,-2.487674482501847,1.7330706208701653e-08
SJF_EST,3.0,12.90818181818182,152.9,1.8905134388862224,0.7921301056337244,-3.8245756118999887,-2.2545152971909213,1.3827966607291701e-07
SJF_EST,5.0,13.317727272727273,149.65,1.9585710649605421,0.7868457689086877,-3.343026821476785,-1.916973178523215,2.832624034020021e-07
SJF_EST,10.0,13.488636363636363,148.85,1.9871129611663316,0.7845881753831705,-3.1034291625237844,-1.8147526556580345,1.7139147571034245e-07
SJF_MODAL,,14.062727272727273,70.6,2.0175525492973425,0.6747225535526675,-2.4258863117791876,-1.344113688220813,6.423316954830974e-07
